ts49;0.9019497739;0.9383711304;0.944723084;0.9507707477;0.9476938791;1
ts50;0.8976634859;0.8734695268;0.8948842183;0.8910499394;0.9080331639;0.9199988287
ts54;1482894242.18001;1482894242.18001;1495400233.51;1495043054;1495251046.68;1494097647.51001
ts55;1482894242.18001;1482894242.18001;1495400233.51;1495043054;1495251046.68;1494097647.51001
ts56;114;109;177;200;214;227
ts57;7141;5847;4138;4045;4228;3174
ts58;462;308;361;541;474;325
ts60;73658;61547;55399;70902;58200;58203
ts65;11963;10882;10064;8768;9407;9732
ts67;38684;39832;42784;40035;41685;43279
ts68;23924;22231;22334;19832;20585;21883
ts69;23924;22231;22334;19832;20585;21883
ts70;102073294.06;98338386.628;94140102.504;98506763.768;85203525.41;84660993.474
ts71;6597937.302;6541609.766;6955442.45;5178631.568;5207641.638;3630195.172
ts72;19254692.53;17820099.19;16095708.38;16988164.48;14140363.72;13058445.73
