"1";26;42;35;13;51;11;12;31;15;4;22;12;12;11;4;12;13;13;56;47;120;52;106;35;77;16;11;28;5;20;24;57;43;22;7;11;13;42;11;7;22;13;20;11;18;16;18;9;15;16;14;11;66;18;23;20;20;39;16
"2";27;58;47;10;29;79;21;39;16;37;19;8;13;37;20;12;17;11;11;12;35;25;16;20;69;17;8;15;17;87;14;24;11;28;16;19;11;64;20;77;34;19;25;16;16;24;48;31;20;19;20;45;33;15;57;41;43;24;34
"3";13;8;12;3;5;10;4;1;17;3;4;2;4;2;0;6;6;6;2;3;7;3;1;4;2;2;3;2;7;0;10;1;1;3;3;7;9;4;5;7;0;2;3;2;4;0;2;4;3;6;4;0;2;3;2;4;2;4;4
"4";12;16;9;9;16;18;15;5;16;14;15;11;4;6;7;8;10;13;14;10;11;15;11;8;10;15;4;2;6;9;6;14;34;31;17;16;39;20;21;15;106;35;10;8;16;27;40;19;23;24;19;11;17;20;16;12;19;20;14
"5";8;22;12;17;61;36;21;14;13;10;16;139;9;25;37;16;10;37;12;45;13;195;28;13;44;175;27;81;36;16;63;86;113;52;55;105;29;55;45;48;67;62;164;43;21;16;26;27;32;33;24;54;60;31;33;31;16;31;15
"6";41;20;25;23;79;46;20;16;11;18;16;45;16;28;19;39;13;14;14;16;11;12;15;20;11;7;17;87;14;20;15;16;18;23;12;11;16;20;14;67;20;14;13;16;16;23;12;23;16;20;26;13;15;11;21;16;22;10;26
"7";20;11;30;5;7;9;7;13;17;4;6;0;2;7;9;4;7;23;7;2;6;8;7;9;7;8;14;6;2;3;6;8;3;40;7;8;10;5;15;24;8;10;6;4;3;10;45;5;20;9;3;10;4;4;5;9;7;6;10
"8";26;64;41;34;16;22;16;33;31;20;40;10;19;20;26;13;15;32;65;197;80;48;23;27;33;39;20;59;22;64;29;8;19;13;7;13;43;49;13;19;31;23;64;48;32;17;69;26;32;33;63;24;45;19;94;72;64;159;74
"9";77;45;40;80;47;87;39;38;47;23;33;24;32;39;103;19;133;37;53;37;37;62;135;59;32;22;24;16;68;34;57;85;31;71;64;68;56;64;47;29;51;144;36;44;27;29;26;29;64;103;23;42;76;55;65;48;49;63;130
"10";34;82;33;34;41;22;27;24;32;23;30;18;26;22;25;27;38;28;30;16;25;20;32;32;21;13;16;13;14;19;14;21;17;19;29;21;13;25;18;36;28;26;13;14;30;19;60;19;13;29;24;40;36;39;38;21;15;29;37
